stage,claim_id,kind,claim,scope,period,evidence_ids
mandate,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
evidence,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
sovereign,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
legal,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
structure,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
fiscal,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
fiscal,CALC1,CALCULATION,"Recomputed illustrative swap_value; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-24,
additionality,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
safeguards,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
outcomes,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
market,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
valuation,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
valuation,CALC1,CALCULATION,"Recomputed illustrative swap_value; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-24,
expression,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
monitoring,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
challenge,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
memo,A1,ASSUMPTION,Fictional debt swap: headline face-value relief is not net fiscal savings. Programme spending and fees must be reconciled before evaluating additionality.,FICTIONAL-SUBJECT,2026-09-24,
